,Indicator,year,Indicator_no,Total_pregnant_women_registered_ANC,Total_registered_within_first_trimester,Total_registered_under_JSY,Perc_1st_Trimester_regis_to_Total_ANC_regis,Perc_JSY_regis_total_ANC_regis,Total_received_3_ANC_check_ups,Booster_given_numbers,Perc_received_3_ANC_check_ups_to_Total_ANC_regis,Perc_received_Booster_to_Total_ANC_regis,Total_given_100_IFA_tablets,Perc_given_100_IFA_to_Total_ANC_regis,Number_having_Hb_level_11_tested_cases,Number_having_severe_anaemia_Hb_7_treated_at_institutin,Perc_having_severe_anaemia_Hb7_treated_at_institution_to_women_having_hb_level_11,Perc_New_cases_detected_at_institution_for_hypertension_to_Total_ANC_regis,Total_home_deliveries,home_deliveries_attended_by_SBA_trained_Doctor_Nurse,home_deliveries_attended_by_Non_SBA_trained,Perc_SBA_attended_home_deliveries_to_Total_Reported_Home_Deliveries,Mothers_paid_JSY_incentive_for_home_deliveries,Perc_Mothers_paid_JSY_incentive_for_home_deliveries_to_Total_Reported_Home_Deliveries,Deliveries_Conducted_at_Public_Institutions,Institutional_deliveries_Public_Insts_Pvt_Insts,Perc_Institutional_Deliveries_to_total_ANC_registration,Total_reported_deliveries,Perc_Institutional_deliveries_to_Total_Reported_Deliveries,Perc_Safe_deliveries_to_Total_Reported_Deliveries,Perc_Home_deliveries_to_Total_Reported_Deliveries,Number_of_C_section_deliveries_conducted_at_public_facilities,Number_of_C_section_deliveries_conducted_at_private_facilities,Perc_C_section_deliveries_institutional_to_reported_institutional_deliveries,Perc_C_sections_conducted_at_public_facilities_to_Deliveries_conducted_at_public_facilities,Perc_C_sections_conducted_at_Private_facilities_to_Deliveries_conducted_at_private_facilities,Perc_Deliveries_conducted_at_Public_Institutions_to_Total_Institutional_Deliveries,Perc_Deliveries_conducted_at_Private_Institutions_to_Total_Institutional_Deliveries,Total_reported_live_births,Perc_Total_Live_Births_to_Total_Deliveries,Total_Number_of_reported_Still_Births,Perc_Live_birth_to_Reported.Birth,Number_of_Newborns_weighed_at_birth,Perc_Newborns_weighed_at_birth_to_live_birth,Number_of_Newborns_having_weight_less_than_2.5.kg,Perc_Newborns_having_weight_less_than_2.5.kg_to_Newborns_weighed_at_birth
60,THQH Adimaly,2014-15,3,15,13,9,86.7,60,15,574,100,3826.7,649,4326.7,791,23,2.9,906.7,NA,NA,NA,NA,NA,NA,1686,2232,4880,2232,100,100,0,732,270,44.9,43.4,49.5,75.5,24.5,2242,100.4,9,99.6,2242,100,352,15.7
61,THQH Nedumkandom,2014-15,3,40,26,16,65,40,35,312,87.5,780,77,192.5,2,0,0,0,NA,NA,NA,NA,NA,NA,45,734,1835,734,100,100,0,19,342,49.2,42.2,49.6,6.1,93.9,738,100.5,1,99.9,738,100,128,17.3
62,THQH Peerumedu,2014-15,3,9,6,8,66.7,88.9,20,41,222.2,455.6,19,211.1,18,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
63,THQH Thodupuzha,2014-15,3,581,414,140,71.3,24.1,501,3072,86.2,528.7,1011,174,2127,27,1.3,52.3,NA,NA,NA,NA,NA,NA,1005,4858,836.1,4858,100,100,0,469,1961,50,46.7,50.9,20.7,79.3,4911,101.1,12,99.8,4884,99.5,493,10.1
64,Upputhara CHC Area,2014-15,3,2945,2485,1428,84.4,48.5,2532,2118,86,71.9,2304,78.2,202,0,0,0.6,6,1,5,16.7,0,0,0,1848,62.8,1854,99.7,99.7,0.3,0,862,46.6,NA,46.6,0,100,1867,100.7,8,99.6,1867,100,273,14.6
65,Vandiperiyar CHC Area,2014-15,3,1979,1792,1320,90.6,66.7,1899,2025,96,102.3,2142,108.2,20,0,0,0.4,13,1,12,7.7,1,7.7,0,854,43.2,867,98.5,98.6,1.5,0,411,48.1,NA,48.1,0,100,865,99.8,6,99.3,862,99.7,93,10.8
67,Azhikode CHCArea,2014-15,4,2553,2048,781,80.2,30.6,2383,2728,93.3,106.9,2414,94.6,197,0,0,1.2,0,0,0,NA,0,NA,0,1191,46.7,1191,100,100,0,0,746,62.6,NA,62.6,0,100,1204,101.1,2,99.8,1204,100,206,17.1
68,Chittariparamba PHCArea,2014-15,4,2108,1762,843,83.6,40,2099,1153,99.6,54.7,2057,97.6,149,46,30.9,0.9,0,0,0,NA,0,NA,0,953,45.2,953,100,100,0,0,343,36,NA,36,0,100,953,100,4,99.6,953,100,41,4.3
69,DH Kannur,2014-15,4,719,548,328,76.2,45.6,697,1441,96.9,200.4,675,93.9,221,43,19.5,42.7,NA,NA,NA,NA,NA,NA,3458,10863,1510.8,10863,100,100,0,1898,3023,45.3,54.9,40.8,31.8,68.2,10866,100,26,99.8,10869,100,648,6
70,Ezhome PHCArea,2014-15,4,2421,2082,608,86,25.1,2518,1576,104,65.1,2608,107.7,29,NA,0,0.8,1,0,1,0,0,0,0,1689,69.8,1690,99.9,99.9,0.1,0,558,33,NA,33,0,100,1681,99.5,9,99.5,1681,100,185,11
71,GH Thalassery,2014-15,4,548,442,74,80.7,13.5,477,3955,87,721.7,454,82.8,31,0,0,1.8,NA,NA,NA,NA,NA,NA,4220,11894,2170.4,11894,100,100,0,2060,3943,50.5,48.8,51.4,35.5,64.5,11897,100,38,99.7,11897,100,1152,9.7
72,Iritty CHCArea,2014-15,4,4872,4121,2052,84.6,42.1,4693,3451,96.3,70.8,4793,98.4,36,0,0,0.3,2,1,1,50,0,0,2,2128,43.7,2130,99.9,100,0.1,0,836,39.3,0,39.3,0.1,99.9,2130,100,4,99.8,2130,100,123,5.8
73,Iriveri CHCArea,2014-15,4,4609,3822,1148,82.9,24.9,4352,3071,94.4,66.6,4482,97.2,60,0,0,0.2,0,0,0,NA,0,NA,0,314,6.8,314,100,100,0,0,123,39.2,NA,39.2,0,100,315,100.3,1,99.7,315,100,17,5.4
74,Keezhpally PHCArea,2014-15,4,1861,1601,1473,86,79.2,1812,896,97.4,48.1,1945,104.5,108,NA,0,0.9,8,0,8,0,4,50,0,2,0.1,10,20,20,80,0,NA,0,NA,0,0,100,11,110,0,100,11,100,7,63.6
75,Mayyil CHCArea,2014-15,4,3273,2813,1377,85.9,42.1,3286,2694,100.4,82.3,3407,104.1,173,0,0,0.7,1,0,1,0,1,100,0,838,25.6,839,99.9,99.9,0.1,0,309,36.9,NA,36.9,0,100,842,100.4,0,100,842,100,46,5.5
76,Oduvallithattu CHCArea,2014-15,4,2267,2020,1025,89.1,45.2,2254,1221,99.4,53.9,2222,98,60,0,0,0.4,3,0,3,0,0,0,0,8,0.4,11,72.7,72.7,27.3,0,3,37.5,NA,37.5,0,100,11,100,0,100,11,100,1,9.1
77,Panoor CHCArea,2014-15,4,2492,2079,648,83.4,26,2342,859,94,34.5,2286,91.7,31,0,0,0.3,1,0,1,0,0,0,0,0,0,1,0,0,100,0,NA,NA,NA,NA,NA,NA,1,100,0,100,1,100,1,100
78,Pappinissery CHCArea,2014-15,4,3130,2619,1056,83.7,33.7,3118,1247,99.6,39.8,3013,96.3,28,0,0,0.2,1,0,1,0,0,0,0,860,27.5,861,99.9,99.9,0.1,0,401,46.6,NA,46.6,0,100,868,100.8,0,100,868,100,44,5.1
79,Payyangadi CHCArea,2014-15,4,3496,2852,920,81.6,26.3,3439,3506,98.4,100.3,3582,102.5,22,0,0,0.5,4,0,4,0,0,0,0,4754,136,4758,99.9,99.9,0.1,0,1668,35.1,NA,35.1,0,100,4785,100.6,7,99.9,4785,100,286,6
80,Peringome CHCArea,2014-15,4,1973,1720,743,87.2,37.7,1912,934,96.9,47.3,1984,100.6,79,0,0,0.8,4,0,4,0,0,0,0,2045,103.6,2049,99.8,99.8,0.2,0,871,42.6,NA,42.6,0,100,2041,99.6,72,96.6,2041,100,666,32.6
81,Pinarayi CHCArea,2014-15,4,4803,4035,1213,84,25.3,4444,2066,92.5,43,4708,98,69,0,0,1.5,1,0,1,0,0,0,0,179,3.7,180,99.4,99.4,0.6,0,83,46.4,NA,46.4,0,100,181,100.6,1,99.5,181,100,8,4.4
82,THQH Kuthuparamba,2014-15,4,78,71,11,91,14.1,75,586,96.2,751.3,75,96.2,742,1,0.1,0,NA,NA,NA,NA,NA,NA,86,192,246.2,192,100,100,0,2,45,24.5,2.3,42.5,44.8,55.2,189,98.4,3,98.4,189,100,18,9.5
83,THQH Payyannur,2014-15,4,80,72,26,90,32.5,80,865,100,1081.3,80,100,90,4,4.4,63.8,NA,NA,NA,NA,NA,NA,633,771,963.8,771,100,100,0,214,78,37.9,33.8,56.5,82.1,17.9,772,100.1,6,99.2,772,100,95,12.3
84,THQH Peravoor,2014-15,4,0,0,0,NA,NA,0,141,NA,NA,31,NA,45,8,17.8,NA,NA,NA,NA,NA,NA,NA,172,172,NA,172,100,100,0,0,NA,0,0,NA,100,0,195,113.4,0,100,195,100,21,10.8
85,THQH Taliparamba,2014-15,4,105,61,6,58.1,5.7,99,1022,94.3,973.3,113,107.6,1282,13,1,100,NA,NA,NA,NA,NA,NA,2087,4436,4224.8,4436,100,100,0,846,633,33.3,40.5,26.9,47,53,4450,100.3,25,99.4,4450,100,441,9.9
86,Wand C hospital mangattuparamba,2014-15,4,35,31,16,88.6,45.7,38,600,108.6,1714.3,56,160,1023,46,4.5,131.4,NA,NA,NA,NA,NA,NA,499,499,1425.7,499,100,100,0,248,NA,49.7,49.7,NA,100,0,1269,254.3,5,99.6,1269,100,143,11.3
88,Bedaduka CHCArea,2014-15,5,2988,2516,927,84.2,31,2974,2669,99.5,89.3,2802,93.8,598,0,0,1.2,2,2,0,100,0,0,0,525,17.6,527,99.6,100,0.4,0,91,17.3,NA,17.3,0,100,529,100.4,0,100,529,100,52,9.8
89,DH Kanhangad,2014-15,5,274,231,42,84.3,15.3,268,1113,97.8,406.2,244,89.1,50,0,0,30.3,NA,NA,NA,NA,NA,NA,1731,2774,1012.4,2774,100,100,0,390,218,21.9,22.5,20.9,62.4,37.6,2870,103.5,2,99.9,2870,100,409,14.3
